Model Parameters: a, b, 1/eps, Lx, Ly, Dv = 0.75, 0.01, 50, 40, 40, 0
Numerical Parameters: NX, NY, ts, delta = 201, 201, 0.8, 0.001 
File written: Thu Jun 18 15:30:20 2015
Comments: 2D 





Ascii values of u and v follow
0 0.27187
0 0.270325
0 0.266012
0 0.259715
0 0.252331
0 0.244552
0 0.23677
0 0.229153
0 0.221768
0 0.214631
0 0.207745
0 0.201106
0 0.194698
0 0.188516
0 0.182559
0 0.176806
0 0.171259
0 0.165905
0 0.160743
0 0.15576
0 0.150952
0 0.146315
0 0.141838
0 0.137519
0 0.133348
0 0.129324
0 0.125442
0 0.121692
0 0.118074
0 0.11458
0 0.111208
0 0.107951
0 0.10481
0 0.101774
0 0.0988447
0 0.0960157
0 0.0932842
0 0.090644
0 0.0880979
0 0.0856385
0 0.0832616
0 0.080968
0 0.0787514
0 0.076613
0 0.0745461
0 0.0725488
0 0.0706211
0 0.0687591
0 0.06696
0 0.0652225
0 0.0635449
0 0.0619248
0 0.0603589
0 0.058846
0 0.057387
0 0.0559767
0 0.0546148
0 0.0532995
0 0.0520302
0 0.0508034
0 0.0496201
0.00136602 0.0484935
0.0028433 0.047448
0.00525438 0.0464876
0.00868097 0.0456263
0.0137306 0.0448786
0.0211907 0.0443058
0.0321628 0.0439413
0.0482276 0.043876
0.0716244 0.044195
0.105505 0.0450509
0.154141 0.0465995
0.222727 0.0490711
0.315805 0.0526985
0.433047 0.0577165
0.564081 0.0642762
0.689822 0.0723216
0.793224 0.081624
0.868112 0.0918078
0.9178 0.102468
0.949118 0.113259
0.968381 0.123931
0.980146 0.134327
0.987355 0.144352
0.991815 0.153951
0.99461 0.163099
0.996386 0.171784
0.997534 0.180001
0.998286 0.187748
0.998787 0.195044
0.999126 0.20189
0.999359 0.208293
0.999521 0.214254
0.999636 0.219796
0.999718 0.224914
0.999778 0.229629
0.999822 0.233936
0.999854 0.237855
0.999879 0.24138
0.999897 0.244497
0.999911 0.24727
0.999922 0.249664
0.99993 0.25169
0.999937 0.25336
0.999941 0.254667
0.999945 0.255617
0.999947 0.256217
0.999948 0.256469
0.999948 0.256377
0.999948 0.255944
0.999946 0.25517
0.999943 0.254055
0.99994 0.252596
0.999934 0.250808
0.999928 0.248685
0.999919 0.246223
0.999908 0.243419
0.999894 0.240283
0.999875 0.236807
0.999851 0.232986
0.99982 0.228827
0.999778 0.22432
0.999723 0.219472
0.999649 0.214269
0.999548 0.208718
0.999409 0.202803
0.999215 0.196528
0.998942 0.189897
0.998553 0.182891
0.997989 0.175513
0.997163 0.167763
0.995934 0.159644
0.994084 0.151143
0.991259 0.14227
0.986895 0.13304
0.980077 0.123477
0.969343 0.113624
0.952388 0.103554
0.925741 0.0933826
0.88462 0.0832874
0.823535 0.073512
0.738543 0.0643527
0.631223 0.0561089
0.511501 0.0490098
0.394633 0.0431547
0.293311 0.0385045
0.21276 0.0349202
0.152042 0.0322187
0.107582 0.0302372
0.0755174 0.0288039
0.0525927 0.0277819
0.0363003 0.0270865
0.0247813 0.0266211
0.0166781 0.02632
0.0110013 0.0261522
0.00703085 0.0260684
0.00429287 0.0260604
0.00228731 0.0260923
