Model Parameters: a, b, 1/eps, Lx, Ly, Dv = 0.75, 0.01, 50, 40, 40, 0
Numerical Parameters: NX, NY, ts, delta = 201, 201, 0.8, 0.001 
File written: Thu Jun 18 15:30:18 2015
Comments: 2D 





Ascii values of u and v follow
1 0.359442
1 0.363013
1 0.373029
1 0.387686
1 0.404908
1 0.42309
1 0.441296
1 0.459108
1 0.476365
1 0.493044
1 0.509142
1 0.524667
1 0.53965
1 0.554105
1 0.568049
0.999999 0.581504
0.999999 0.59449
0.999997 0.607015
0.999991 0.619103
0.999977 0.630767
0.99994 0.642026
0.999849 0.652887
0.999626 0.66337
0.999095 0.673476
0.997844 0.683197
0.994932 0.692512
0.988175 0.701337
0.972435 0.709487
0.935761 0.716512
0.853622 0.721492
0.694984 0.722914
0.470631 0.719215
0.261273 0.7099
0.126035 0.695969
0.0567663 0.679243
0.025029 0.661329
0.01106 0.643192
0.00494754 0.625306
0.00224409 0.607867
0.00090956 0.590951
0 0.574563
0 0.558734
0 0.543437
0 0.528674
0 0.514415
0 0.500633
0 0.487331
0 0.474483
0 0.462071
0 0.450079
0 0.438502
0 0.42732
0 0.416517
0 0.406079
0 0.396004
0 0.386274
0 0.376877
0 0.367802
0 0.359038
0 0.350578
0 0.342407
0 0.33452
0 0.326905
0 0.319553
0 0.31246
0 0.305613
0 0.299007
0 0.292634
0 0.286486
0 0.280558
0 0.274848
0 0.269337
0 0.264025
0 0.258911
0 0.253988
0 0.249243
0 0.244676
0 0.240287
0 0.236064
0 0.232008
0 0.228107
0 0.224367
0 0.220775
0 0.217335
0 0.214038
0 0.210884
0 0.20787
0 0.204988
0 0.202241
0 0.199626
0 0.197138
0 0.194773
0 0.192535
0 0.190419
0 0.188424
0 0.18655
0 0.184789
0 0.183143
0 0.181611
0 0.179992
0 0.178647
0 0.177385
0 0.176197
0 0.175088
0 0.174062
0 0.17311
0 0.172236
0 0.17143
0 0.170698
0 0.170029
0 0.169427
0 0.168884
0 0.1684
0 0.167968
0 0.167592
0 0.167264
0 0.166983
0 0.166746
0 0.166552
0 0.166401
0 0.166288
0 0.166209
0 0.166167
0 0.166157
0 0.16618
0 0.16623
0 0.166311
0 0.16642
0 0.166554
0 0.166713
0 0.166897
0 0.167105
0 0.167336
0 0.167589
0 0.167864
0 0.168161
0 0.168479
0 0.168815
0 0.169171
0 0.169546
0 0.16994
0 0.170354
0 0.170787
0 0.171243
0 0.171716
0 0.172208
0 0.172718
0 0.173249
0 0.1738
0 0.174375
0 0.174967
0 0.17558
0 0.176215
0 0.176875
0 0.177554
0 0.178256
0 0.17898
0 0.179731
0 0.180504
0 0.181299
0 0.182121
0 0.182972
0 0.183846
0 0.184745
0 0.185676
0 0.18663
0 0.187613
0 0.18863
0 0.189671
0 0.190743
0 0.191847
0 0.192981
0 0.194146
0 0.195345
0 0.196574
0 0.197838
0 0.199132
0 0.200459
0 0.201821
0 0.203214
0 0.20464
0 0.206092
0 0.207578
0 0.209084
0 0.210618
0 0.212166
0 0.213727
0 0.215297
0 0.21686
0 0.218413
0 0.219933
0 0.221415
0 0.222832
0 0.224166
0 0.225393
0 0.226493
0 0.227435
0 0.228196
0 0.228757
