Model Parameters: a, b, 1/eps, Lx, Ly, Dv = 0.75, 0.01, 50, 40, 40, 0
Numerical Parameters: NX, NY, ts, delta = 201, 201, 0.8, 0.001 
File written: Thu Jun 18 15:30:18 2015
Comments: 2D 





Ascii values of u and v follow
1 0.432288
1 0.435453
1 0.44433
1 0.45732
1 0.472584
1 0.488698
1 0.504834
1 0.52062
1 0.535914
1 0.550696
1 0.564964
1 0.578723
0.999999 0.592002
0.999997 0.604813
0.999993 0.617172
0.999981 0.629096
0.999949 0.640604
0.999868 0.651701
0.999668 0.662406
0.999179 0.672724
0.998005 0.682654
0.995213 0.692166
0.988588 0.701188
0.972813 0.70952
0.935339 0.71669
0.850392 0.721724
0.686484 0.723015
0.458307 0.718972
0.250483 0.709145
0.119275 0.694658
0.053202 0.67742
0.0232813 0.65905
0.010223 0.64051
0.0045468 0.62225
0.00204842 0.604463
0.000820951 0.587216
0 0.570512
0 0.554374
0 0.538799
0 0.523757
0 0.509222
0 0.495193
0 0.481636
0 0.468552
0 0.455914
0 0.4437
0 0.43191
0 0.420523
0 0.409523
0 0.398895
0 0.388634
0 0.378724
0 0.369149
0 0.359898
0 0.350969
0 0.342346
0 0.334017
0 0.325974
0 0.318207
0 0.310709
0 0.303467
0 0.296477
0 0.289728
0 0.283213
0 0.276926
0 0.270858
0 0.265003
0 0.259355
0 0.253906
0 0.248652
0 0.243591
0 0.238707
0 0.233999
0 0.229467
0 0.225104
0 0.220898
0 0.216851
0 0.212961
0 0.209218
0 0.205623
0 0.202166
0 0.198851
0 0.195668
0 0.192619
0 0.189697
0 0.186902
0 0.18423
0 0.181676
0 0.179242
0 0.176924
0 0.174719
0 0.172623
0 0.170639
0 0.168764
0 0.166996
0 0.165335
0 0.163774
0 0.162315
0 0.160958
0 0.159523
0 0.158331
0 0.157212
0 0.156159
0 0.155176
0 0.154267
0 0.153423
0 0.152649
0 0.151934
0 0.151286
0 0.150693
0 0.150159
0 0.149678
0 0.149249
0 0.148866
0 0.148533
0 0.148242
0 0.147993
0 0.147783
0 0.147611
0 0.147477
0 0.147377
0 0.147307
0 0.14727
0 0.147261
0 0.147281
0 0.147326
0 0.147398
0 0.147494
0 0.147613
0 0.147754
0 0.147917
0 0.148101
0 0.148306
0 0.14853
0 0.148774
0 0.149037
0 0.149319
0 0.149617
0 0.149932
0 0.150265
0 0.150614
0 0.150981
0 0.151365
0 0.151769
0 0.152188
0 0.152624
0 0.153076
0 0.153547
0 0.154035
0 0.154545
0 0.155069
0 0.155612
0 0.156175
0 0.15676
0 0.157362
0 0.157984
0 0.158626
0 0.159291
0 0.159977
0 0.160681
0 0.16141
0 0.162164
0 0.162938
0 0.163735
0 0.16456
0 0.165406
0 0.166277
0 0.167178
0 0.168101
0 0.169051
0 0.17003
0 0.171035
0 0.172067
0 0.17313
0 0.174219
0 0.175339
0 0.176486
0 0.177662
0 0.178869
0 0.180104
0 0.181368
0 0.182655
0 0.183972
0 0.185306
0 0.186666
0 0.188038
0 0.189421
0 0.190813
0 0.192198
0 0.193574
0 0.194922
0 0.196235
0 0.197491
0 0.198673
0 0.199761
0 0.200736
0 0.20157
0 0.202245
0 0.202742
