Model Parameters: a, b, 1/eps, Lx, Ly, Dv = 0.75, 0.01, 50, 40, 40, 0
Numerical Parameters: NX, NY, ts, delta = 201, 201, 0.8, 0.001 
File written: Thu Jun 18 15:30:17 2015
Comments: 2D 





Ascii values of u and v follow
0 0.00114121
0 0.00114121
0 0.00114121
0 0.00114121
0 0.00114121
0 0.00114121
0 0.00114121
0 0.00114121
0 0.00114121
0 0.00114121
0 0.00114121
0 0.00114121
0 0.00114121
0 0.00114121
0 0.00114121
0 0.00114121
0 0.00114121
0 0.00114121
0 0.00114121
0 0.00114121
0 0.00114121
0 0.00114121
0 0.00114121
0 0.00114121
0 0.00114121
0 0.00114121
0 0.00114121
0 0.00114121
0 0.00114121
0 0.00114121
0 0.00114121
0 0.00114121
0 0.00114121
0 0.00114121
0 0.00114121
0 0.00114121
0 0.00114121
0 0.00114121
0 0.00114121
0.0014276 0.00115848
0.00372406 0.00124765
0.00871706 0.00143867
0.0180604 0.00183031
0.0362617 0.00261285
0.072324 0.00415485
0.143397 0.00709308
0.273067 0.0124836
0.464778 0.0215326
0.668248 0.0349028
0.82163 0.0522077
0.911646 0.0721956
0.957606 0.0935059
0.979712 0.115159
0.990177 0.136605
0.995157 0.157582
0.997563 0.177976
0.998747 0.197746
0.999342 0.216884
0.999647 0.235397
0.999807 0.2533
0.999892 0.270608
0.999939 0.28734
0.999964 0.303512
0.999979 0.319134
0.999987 0.334238
0.999992 0.348834
0.999995 0.362938
0.999997 0.376565
0.999998 0.389725
0.999999 0.402443
0.999999 0.414731
0.999999 0.426597
1 0.438052
1 0.449118
1 0.4598
1 0.470107
1 0.480058
1 0.489656
1 0.498918
1 0.507844
1 0.516457
1 0.524753
1 0.532745
1 0.540448
1 0.54786
1 0.554991
1 0.561853
1 0.568446
1 0.574778
1 0.580857
0.999999 0.586687
0.999999 0.592278
0.999999 0.597636
0.999998 0.602763
0.999998 0.607668
0.999996 0.612354
0.999995 0.616823
0.999994 0.621079
0.999992 0.625121
0.999989 0.627781
0.999987 0.631305
0.999983 0.634547
0.999979 0.637519
0.999975 0.640243
0.99997 0.642745
0.999965 0.64504
0.999959 0.647141
0.999953 0.649065
0.999946 0.65083
0.99994 0.652446
0.999933 0.653925
0.999927 0.655272
0.99992 0.656502
0.999914 0.657623
0.999908 0.658646
0.999903 0.659572
0.999898 0.660411
0.999893 0.661169
0.99989 0.661855
0.999887 0.662476
0.999884 0.663032
0.999883 0.663526
0.999882 0.663969
0.999882 0.664361
0.999882 0.66471
0.999883 0.665016
0.999885 0.665287
0.999887 0.665526
0.999889 0.665735
0.999893 0.665917
0.999896 0.666079
0.999899 0.666218
0.999903 0.66634
0.999907 0.666446
0.999912 0.66654
0.999916 0.666621
0.99992 0.666696
0.999925 0.666757
0.999929 0.666807
0.999934 0.666848
0.999938 0.666882
0.999942 0.66691
0.999946 0.666933
0.99995 0.666953
0.999954 0.666966
0.999958 0.66698
0.999961 0.666991
0.999965 0.666998
0.999968 0.667005
0.999971 0.66701
0.999974 0.667015
0.999976 0.667018
0.999979 0.667021
0.999981 0.667022
0.999983 0.667025
0.999985 0.667026
0.999987 0.667027
0.999989 0.667029
