Model Parameters: a, b, 1/eps, Lx, Ly, Dv = 0.75, 0.01, 50, 40, 40, 0
Numerical Parameters: NX, NY, ts, delta = 201, 201, 0.8, 0.001 
File written: Thu Jun 18 15:30:17 2015
Comments: 2D 





Ascii values of u and v follow
0 0.000490177
0 0.000490177
0 0.000490177
0 0.000490177
0 0.000490177
0 0.000490177
0 0.000490177
0 0.000490177
0 0.000490177
0 0.000490177
0 0.000490177
0.00167987 0.000510484
0.0048753 0.000631729
0.0127814 0.000947257
0.030195 0.00166412
0.0697962 0.00330832
0.156461 0.00688844
0.319061 0.0140061
0.542061 0.0262745
0.74561 0.0441201
0.876028 0.0664511
0.943113 0.0913524
0.974258 0.117208
0.988245 0.143036
0.994528 0.168355
0.997392 0.192981
0.998726 0.216829
0.999362 0.239897
0.999672 0.262182
0.999827 0.283707
0.999907 0.304506
0.999949 0.324592
0.999971 0.343997
0.999983 0.362735
0.99999 0.380839
0.999994 0.39832
0.999996 0.415204
0.999998 0.43152
0.999999 0.447278
0.999999 0.462502
0.999999 0.477215
1 0.491429
1 0.50516
1 0.518429
1 0.531257
1 0.543649
1 0.555624
1 0.567196
1 0.578379
0.999999 0.589194
0.999997 0.599644
0.999994 0.609743
0.999987 0.619502
0.999972 0.628934
0.99994 0.638052
0.999876 0.646861
0.999748 0.655373
0.999495 0.663597
0.999005 0.671534
0.998075 0.679188
0.996334 0.686549
0.993125 0.693597
0.987289 0.700291
0.976784 0.706548
0.958009 0.712236
0.924586 0.717112
0.865542 0.720787
0.765006 0.722663
0.612415 0.722004
0.427518 0.718234
0.259767 0.711307
0.142508 0.701798
0.0739093 0.690628
0.0375 0.678656
0.0189859 0.666462
0.00968783 0.654379
0.00500511 0.64258
0.0026231 0.631141
0.00139225 0.6201
0.000636881 0.609462
0 0.599218
0 0.589391
0 0.579955
0 0.57092
0 0.562255
0 0.553973
0 0.546055
0 0.538483
0 0.53127
0 0.524399
0 0.517863
0 0.511649
0 0.505772
0 0.500213
0 0.494971
0 0.490049
0 0.485424
0 0.4811
0 0.477075
0 0.472822
0 0.469288
0 0.465973
0 0.462854
0 0.459941
0 0.457246
0 0.454746
0 0.452448
0 0.450332
0 0.448407
0 0.446649
0 0.445069
0 0.443643
0 0.442371
0 0.441237
0 0.440247
0 0.439387
0 0.438651
0 0.438023
0 0.437518
0 0.43712
0 0.436821
0 0.436617
0 0.436506
0 0.436479
0 0.436537
0 0.436672
0 0.436883
0 0.437167
0 0.437521
0 0.43794
0 0.438423
0 0.438969
0 0.439576
0 0.440239
0 0.44096
0 0.441744
0 0.442577
0 0.443461
0 0.444395
0 0.445381
0 0.446418
0 0.447504
0 0.448642
0 0.449839
0 0.45108
0 0.452372
0 0.453713
0 0.455108
0 0.456556
0 0.458067
0 0.459622
0 0.461234
0 0.462901
0 0.464633
0 0.466418
0 0.468261
0 0.470164
0 0.472138
0 0.474165
0 0.476258
0 0.478417
0 0.480651
0 0.482945
0 0.485309
0 0.487754
0 0.490262
0 0.492844
0 0.495512
0 0.498248
0 0.501062
0 0.503966
0 0.506943
0 0.510001
0 0.513153
0 0.51638
0 0.519702
0 0.523102
0 0.526586
0 0.530167
