Model Parameters: a, b, 1/eps, Lx, Ly, Dv = 0.75, 0.01, 50, 40, 40, 0
Numerical Parameters: NX, NY, ts, delta = 201, 201, 0.8, 0.001 
File written: Thu Jun 18 15:30:18 2015
Comments: 2D 





Ascii values of u and v follow
0.982888 0.0803308
0.984002 0.0854378
0.986883 0.0997635
0.990474 0.120736
0.993774 0.145391
0.996262 0.171438
0.997889 0.197538
0.998853 0.223087
0.999388 0.247855
0.999674 0.2718
0.999825 0.294915
0.999905 0.317212
0.999948 0.338732
0.99997 0.359495
0.999983 0.379523
0.99999 0.398851
0.999994 0.417504
0.999996 0.435496
0.999998 0.452861
0.999998 0.469616
0.999999 0.485791
0.999999 0.501397
0.999999 0.516469
1 0.531018
1 0.545058
1 0.558616
1 0.5717
0.999999 0.584336
0.999998 0.596531
0.999996 0.608307
0.999989 0.619683
0.999974 0.630668
0.999936 0.641278
0.999848 0.651522
0.999647 0.661412
0.999193 0.670953
0.998189 0.680143
0.996001 0.688971
0.991281 0.697386
0.981133 0.705282
0.95922 0.712423
0.911907 0.718304
0.814232 0.72199
0.642646 0.722112
0.42299 0.71749
0.232667 0.707979
0.113517 0.694652
0.0523402 0.679099
0.0237397 0.662634
0.010805 0.64604
0.00497781 0.629691
0.00232414 0.613757
0.000963879 0.598296
0 0.583313
0 0.568842
0 0.554865
0 0.541366
0 0.528332
0 0.515742
0 0.50359
0 0.491852
0 0.480522
0 0.469584
0 0.459024
0 0.448835
0 0.438999
0 0.429509
0 0.420356
0 0.411523
0 0.403008
0 0.394806
0 0.38689
0 0.379261
0 0.371913
0 0.364842
0 0.358026
0 0.351466
0 0.345162
0 0.339095
0 0.333268
0 0.327666
0 0.322293
0 0.317133
0 0.312193
0 0.307455
0 0.302926
0 0.298596
0 0.294455
0 0.290511
0 0.286754
0 0.28318
0 0.279782
0 0.276567
0 0.273528
0 0.270662
0 0.26797
0 0.265441
0 0.263077
0 0.260876
0 0.25855
0 0.256618
0 0.254805
0 0.253099
0 0.251506
0 0.250033
0 0.248665
0 0.24741
0 0.246252
0 0.2452
0 0.244238
0 0.243374
0 0.242594
0 0.241899
0 0.241279
0 0.240738
0 0.240267
0 0.239864
0 0.239522
0 0.239245
0 0.239028
0 0.238864
0 0.238752
0 0.238692
0 0.238676
0 0.238709
0 0.238782
0 0.238898
0 0.239054
0 0.239247
0 0.239476
0 0.23974
0 0.240038
0 0.240371
0 0.240733
0 0.241128
0 0.241557
0 0.242011
0 0.242495
0 0.243006
0 0.243545
0 0.244111
0 0.244706
0 0.245328
0 0.245983
0 0.246662
0 0.247368
0 0.248101
0 0.248864
0 0.249656
0 0.250481
0 0.251332
0 0.252213
0 0.253125
0 0.254073
0 0.255048
0 0.256056
0 0.257097
0 0.258176
0 0.259286
0 0.260429
0 0.261609
0 0.262831
0 0.264086
0 0.265378
0 0.266715
0 0.268086
0 0.269498
0 0.270958
0 0.272454
0 0.273993
0 0.27558
0 0.277209
0 0.278881
0 0.280604
0 0.28237
0 0.284186
0 0.286044
0 0.28795
0 0.289907
0 0.291907
0 0.293955
0 0.296042
0 0.298175
0 0.30034
0 0.302542
0 0.304767
0 0.307008
0 0.309264
