Model Parameters: a, b, 1/eps, Lx, Ly, Dv = 0.75, 0.01, 50, 40, 40, 0
Numerical Parameters: NX, NY, ts, delta = 201, 201, 0.8, 0.001 
File written: Thu Jun 18 15:30:18 2015
Comments: 2D 





Ascii values of u and v follow
0.00470355 0.000452363
0.00695146 0.000534644
0.0157199 0.000896996
0.0376472 0.0018135
0.0895367 0.00394563
0.201568 0.00865114
0.395196 0.0177944
0.625277 0.0327771
0.805788 0.0534213
0.909299 0.0780828
0.959264 0.104713
0.981743 0.131823
0.991693 0.158643
0.996134 0.184815
0.998155 0.21019
0.999096 0.234738
0.999546 0.258456
0.999765 0.281348
0.999876 0.303449
0.999933 0.324775
0.999962 0.345365
0.999979 0.365233
0.999987 0.38442
0.999992 0.402942
0.999995 0.420816
0.999997 0.438075
0.999998 0.454733
0.999999 0.47082
0.999999 0.486346
0.999999 0.501338
1 0.515821
1 0.529806
1 0.543316
1 0.556362
1 0.568964
0.999999 0.581135
0.999999 0.592889
0.999997 0.604247
0.999992 0.615217
0.999981 0.625815
0.999955 0.636057
0.999897 0.645949
0.999769 0.655504
0.999492 0.664729
0.998903 0.673634
0.997671 0.682208
0.995137 0.690435
0.989981 0.698269
0.979557 0.70561
0.958474 0.712256
0.91573 0.717799
0.831119 0.721504
0.681437 0.722265
0.476417 0.71899
0.279737 0.71131
0.144132 0.699908
0.0692572 0.686108
0.0324362 0.671174
0.015164 0.655932
0.00715526 0.640827
0.00342327 0.626057
0.00165716 0.611714
0.000702276 0.597826
0 0.584382
0 0.571409
0 0.558887
0 0.546807
0 0.535153
0 0.523908
0 0.513068
0 0.502626
0 0.492548
0 0.482836
0 0.473481
0 0.464479
0 0.455801
0 0.447451
0 0.439425
0 0.4317
0 0.424282
0 0.417151
0 0.41031
0 0.403741
0 0.397451
0 0.391419
0 0.385654
0 0.380141
0 0.374869
0 0.369848
0 0.365065
0 0.360515
0 0.356189
0 0.352097
0 0.348227
0 0.344578
0 0.341152
0 0.337932
0 0.334922
0 0.332121
0 0.329159
0 0.326699
0 0.324391
0 0.32222
0 0.320191
0 0.318316
0 0.316575
0 0.314976
0 0.313503
0 0.312163
0 0.310939
0 0.309839
0 0.308846
0 0.30796
0 0.307171
0 0.306482
0 0.305883
0 0.30537
0 0.304934
0 0.304582
0 0.304305
0 0.304097
0 0.303955
0 0.303878
0 0.303858
0 0.303899
0 0.303993
0 0.30414
0 0.304338
0 0.304584
0 0.304876
0 0.305212
0 0.305592
0 0.306015
0 0.306476
0 0.306979
0 0.307525
0 0.308104
0 0.30872
0 0.309369
0 0.310056
0 0.310777
0 0.311533
0 0.312326
0 0.31316
0 0.314024
0 0.314923
0 0.315856
0 0.316828
0 0.317836
0 0.318887
0 0.31997
0 0.321092
0 0.322252
0 0.323459
0 0.324701
0 0.325984
0 0.327309
0 0.328683
0 0.330095
0 0.331551
0 0.333054
0 0.334609
0 0.336207
0 0.337852
0 0.339554
0 0.3413
0 0.343097
0 0.344955
0 0.34686
0 0.348819
0 0.35084
0 0.352913
0 0.355042
0 0.357236
0 0.359483
0 0.361795
0 0.364162
0 0.366587
0 0.36908
0 0.371625
0 0.374233
0 0.37689
