Model Parameters: a, b, 1/eps, Lx, Ly, Dv = 0.75, 0.01, 50, 40, 40, 0
Numerical Parameters: NX, NY, ts, delta = 201, 201, 0.8, 0.001 
File written: Thu Jun 18 15:30:18 2015
Comments: 2D 





Ascii values of u and v follow
0.999903 0.184511
0.999905 0.189058
0.999908 0.201809
0.999915 0.220469
0.999924 0.242394
0.999936 0.265541
0.999948 0.288719
0.99996 0.311394
0.99997 0.333364
0.999979 0.354598
0.999986 0.375091
0.99999 0.394856
0.999994 0.413931
0.999996 0.432333
0.999997 0.450085
0.999998 0.467215
0.999999 0.483747
0.999999 0.499693
1 0.515083
1 0.529933
1 0.544268
1 0.5581
0.999999 0.571458
0.999999 0.584352
0.999998 0.596795
0.999996 0.608811
0.999989 0.620407
0.999973 0.631605
0.999933 0.642412
0.999837 0.652845
0.999613 0.662918
0.999099 0.672632
0.997938 0.681988
0.995352 0.69096
0.989632 0.69949
0.976976 0.707434
0.948828 0.714472
0.886968 0.71994
0.762152 0.722643
0.562107 0.721084
0.341122 0.714335
0.175702 0.702774
0.0823418 0.687871
0.0371589 0.671266
0.0166647 0.654115
0.00753605 0.63703
0.00345621 0.620295
0.00158575 0.604027
0.000635965 0.588261
0 0.572993
0 0.558255
0 0.54402
0 0.530267
0 0.516977
0 0.504151
0 0.491764
0 0.4798
0 0.468248
0 0.45709
0 0.44632
0 0.435917
0 0.425876
0 0.416181
0 0.406822
0 0.397792
0 0.389075
0 0.380664
0 0.372552
0 0.364723
0 0.357177
0 0.349907
0 0.342892
0 0.33613
0 0.329618
0 0.323351
0 0.31731
0 0.311496
0 0.305909
0 0.300532
0 0.295368
0 0.290403
0 0.285641
0 0.281068
0 0.276689
0 0.27249
0 0.268476
0 0.264639
0 0.260969
0 0.257473
0 0.254143
0 0.250976
0 0.247964
0 0.245115
0 0.242422
0 0.239882
0 0.237496
0 0.235254
0 0.233159
0 0.231208
0 0.229147
0 0.227435
0 0.225828
0 0.224316
0 0.222904
0 0.221598
0 0.220386
0 0.219274
0 0.218247
0 0.217315
0 0.216463
0 0.215697
0 0.215005
0 0.214389
0 0.21384
0 0.213361
0 0.212943
0 0.212586
0 0.212283
0 0.212037
0 0.211845
0 0.2117
0 0.2116
0 0.211547
0 0.211533
0 0.211562
0 0.211627
0 0.21173
0 0.211868
0 0.212039
0 0.212242
0 0.212476
0 0.21274
0 0.213035
0 0.213356
0 0.213706
0 0.214086
0 0.214489
0 0.214918
0 0.215371
0 0.215848
0 0.21635
0 0.216877
0 0.217429
0 0.218009
0 0.218611
0 0.219237
0 0.219886
0 0.220562
0 0.221264
0 0.221996
0 0.22275
0 0.223531
0 0.224339
0 0.225179
0 0.226043
0 0.226937
0 0.227859
0 0.228815
0 0.229799
0 0.230812
0 0.231858
0 0.232941
0 0.234053
0 0.235198
0 0.236383
0 0.237598
0 0.23885
0 0.240144
0 0.24147
0 0.242834
0 0.24424
0 0.245684
0 0.247166
0 0.248693
0 0.250258
0 0.251867
0 0.253514
0 0.255203
0 0.256938
0 0.25871
0 0.260526
0 0.262375
0 0.264266
0 0.266184
0 0.268136
0 0.270108
0 0.272094
0 0.274094
0 0.276083
0 0.278061
