Model Parameters: a, b, 1/eps, Lx, Ly, Dv = 0.75, 0.01, 50, 40, 40, 0
Numerical Parameters: NX, NY, ts, delta = 201, 201, 0.8, 0.001 
File written: Thu Jun 18 15:30:19 2015
Comments: 2D 





Ascii values of u and v follow
0.999999 0.604782
0.999999 0.606986
0.999997 0.613165
0.999992 0.622208
0.999978 0.632833
0.99994 0.64405
0.999838 0.65528
0.999575 0.666258
0.998902 0.676876
0.997202 0.687096
0.992929 0.696852
0.982175 0.705992
0.955193 0.714159
0.889919 0.72051
0.75131 0.723486
0.531267 0.721191
0.303258 0.712629
0.146737 0.698544
0.0651598 0.680919
0.0281008 0.661692
0.0121126 0.642089
0.00528253 0.622711
0.002336 0.603816
0.000927549 0.585491
0 0.567746
0 0.550612
0 0.534081
0 0.518117
0 0.502712
0 0.487834
0 0.473482
0 0.459617
0 0.44624
0 0.433315
0 0.420845
0 0.408795
0 0.397167
0 0.385933
0 0.375089
0 0.364618
0 0.354499
0 0.344732
0 0.335295
0 0.326187
0 0.317388
0 0.308885
0 0.300678
0 0.292751
0 0.285093
0 0.277694
0 0.270551
0 0.263651
0 0.256986
0 0.250546
0 0.244331
0 0.238327
0 0.232529
0 0.226929
0 0.221523
0 0.216303
0 0.211262
0 0.206395
0 0.201696
0 0.197161
0 0.192785
0 0.18856
0 0.184484
0 0.180552
0 0.176759
0 0.173101
0 0.169578
0 0.166179
0 0.1629
0 0.159745
0 0.156708
0 0.153781
0 0.150963
0 0.148255
0 0.145649
0 0.143146
0 0.14074
0 0.138432
0 0.136216
0 0.134094
0 0.132059
0 0.130113
0 0.128253
0 0.126475
0 0.124781
0 0.123168
0 0.121632
0 0.120173
0 0.118791
0 0.117487
0 0.116256
0 0.1151
0 0.114012
0 0.112997
0 0.112052
0 0.111054
0 0.110224
0 0.109445
0 0.108712
0 0.108027
0 0.107394
0 0.106807
0 0.106268
0 0.105771
0 0.105319
0 0.104907
0 0.104535
0 0.1042
0 0.103901
0 0.103634
0 0.103402
0 0.1032
0 0.103027
0 0.102881
0 0.10276
0 0.102667
0 0.102598
0 0.102549
0 0.102524
0 0.102517
0 0.102532
0 0.102563
0 0.102612
0 0.10268
0 0.102762
0 0.10286
0 0.102973
0 0.103102
0 0.103244
0 0.103401
0 0.10357
0 0.103754
0 0.10395
0 0.104157
0 0.104376
0 0.104608
0 0.104852
0 0.105107
0 0.105374
0 0.105655
0 0.105947
0 0.10625
0 0.106565
0 0.106893
0 0.107233
0 0.107588
0 0.107953
0 0.108331
0 0.108722
0 0.10913
0 0.109548
0 0.109983
0 0.110429
0 0.110892
0 0.11137
0 0.11186
0 0.112367
0 0.112891
0 0.11343
0 0.113986
0 0.11456
0 0.11515
0 0.115755
0 0.116382
0 0.117025
0 0.117686
0 0.118368
0 0.119067
0 0.119786
0 0.120526
0 0.121283
0 0.122064
0 0.122862
0 0.123681
0 0.124521
0 0.125381
0 0.126261
0 0.127157
0 0.128073
0 0.129002
0 0.129949
0 0.130905
0 0.131866
0 0.132836
0 0.1338
0 0.134758
0 0.135697
0 0.136611
0 0.137485
0 0.138308
0 0.139066
0 0.139745
0 0.140325
0 0.140795
0 0.141141
