Model Parameters: a, b, 1/eps, Lx, Ly, Dv = 0.75, 0.01, 50, 40, 40, 0
Numerical Parameters: NX, NY, ts, delta = 201, 201, 0.8, 0.001 
File written: Thu Jun 18 15:30:18 2015
Comments: 2D 





Ascii values of u and v follow
0.999998 0.277248
0.999998 0.281278
0.999998 0.292579
0.999998 0.309117
0.999998 0.328549
0.999998 0.349064
0.999998 0.369606
0.999998 0.389703
0.999998 0.409175
0.999999 0.427994
0.999999 0.446157
0.999999 0.463674
0.999999 0.48058
0.999999 0.49689
0.999999 0.512623
1 0.527805
1 0.542457
1 0.556589
1 0.570229
0.999999 0.58339
0.999998 0.596095
0.999996 0.608354
0.99999 0.620193
0.999974 0.63162
0.999934 0.642646
0.999837 0.653292
0.999606 0.663559
0.999065 0.673461
0.997818 0.682988
0.994976 0.692117
0.988536 0.700782
0.973897 0.708804
0.940511 0.715797
0.866386 0.720941
0.720735 0.722852
0.504537 0.719991
0.289664 0.711682
0.143202 0.698693
0.0654959 0.682712
0.0291582 0.665363
0.0129719 0.647679
0.0058342 0.630177
0.00265987 0.613087
0.00120665 0.596496
0 0.580422
0 0.564872
0 0.549863
0 0.535366
0 0.521362
0 0.507831
0 0.494769
0 0.482152
0 0.469963
0 0.458185
0 0.446817
0 0.435839
0 0.425236
0 0.414997
0 0.405108
0 0.395563
0 0.386343
0 0.377444
0 0.368852
0 0.360557
0 0.352554
0 0.344828
0 0.337374
0 0.330184
0 0.323246
0 0.316558
0 0.310115
0 0.303897
0 0.297904
0 0.292133
0 0.286579
0 0.281225
0 0.276072
0 0.27112
0 0.266355
0 0.261778
0 0.257377
0 0.253157
0 0.249104
0 0.245223
0 0.241502
0 0.237944
0 0.234543
0 0.231291
0 0.228192
0 0.225241
0 0.222434
0 0.219765
0 0.21724
0 0.214853
0 0.212602
0 0.210487
0 0.2085
0 0.206643
0 0.204914
0 0.203088
0 0.20157
0 0.200146
0 0.198806
0 0.197555
0 0.196397
0 0.195323
0 0.194337
0 0.193427
0 0.192601
0 0.191846
0 0.191167
0 0.190554
0 0.190008
0 0.189521
0 0.189097
0 0.188726
0 0.18841
0 0.188142
0 0.187923
0 0.187753
0 0.187625
0 0.187536
0 0.187489
0 0.187477
0 0.187503
0 0.18756
0 0.187651
0 0.187774
0 0.187925
0 0.188105
0 0.188313
0 0.188547
0 0.188808
0 0.189093
0 0.189403
0 0.189739
0 0.190097
0 0.190477
0 0.190878
0 0.191301
0 0.191746
0 0.192213
0 0.192702
0 0.193216
0 0.19375
0 0.194305
0 0.19488
0 0.195479
0 0.196101
0 0.19675
0 0.197418
0 0.19811
0 0.198826
0 0.199571
0 0.200337
0 0.201129
0 0.201946
0 0.202793
0 0.203666
0 0.204563
0 0.20549
0 0.20645
0 0.207436
0 0.208451
0 0.209501
0 0.210578
0 0.211687
0 0.212834
0 0.214009
0 0.215218
0 0.216464
0 0.217744
0 0.219058
0 0.220411
0 0.221798
0 0.223224
0 0.224684
0 0.226181
0 0.227718
0 0.229289
0 0.230898
0 0.232537
0 0.234213
0 0.235913
0 0.237643
0 0.23939
0 0.241151
0 0.242923
0 0.244686
0 0.246439
0 0.248154
0 0.249826
