Model Parameters: a, b, 1/eps, Lx, Ly, Dv = 0.75, 0.01, 50, 40, 40, 0
Numerical Parameters: NX, NY, ts, delta = 201, 201, 0.8, 0.001 
File written: Thu Jun 18 15:30:20 2015
Comments: 2D 





Ascii values of u and v follow
0 0.240952
0 0.239583
0 0.23576
0 0.230179
0 0.223635
0 0.216741
0 0.209844
0 0.203093
0 0.196548
0 0.190223
0 0.18412
0 0.178236
0 0.172556
0 0.167077
0 0.161798
0 0.156699
0 0.151783
0 0.147038
0 0.142463
0 0.138046
0 0.133785
0 0.129676
0 0.125708
0 0.12188
0 0.118183
0 0.114617
0 0.111176
0 0.107853
0 0.104646
0 0.10155
0 0.0985611
0 0.0956745
0 0.0928907
0 0.0901999
0 0.0876038
0 0.0850965
0 0.0826756
0 0.0803357
0 0.0780791
0 0.0758994
0 0.0737928
0 0.0717601
0 0.0697955
0 0.0679003
0 0.0660685
0 0.0642983
0 0.0625899
0 0.0609396
0 0.0593451
0 0.0578052
0 0.0563184
0 0.0548825
0 0.0534947
0 0.0521539
0 0.0508608
0 0.0496109
0.0019102 0.0484436
0.00400385 0.0473602
0.00715058 0.0463828
0.0120659 0.0455396
0.0197037 0.0448799
0.0315792 0.0444678
0.0500119 0.0444342
0.0785851 0.044929
0.122774 0.0461779
0.190396 0.0484875
0.290137 0.0522841
0.424369 0.0579772
0.577895 0.0658698
0.720518 0.0759179
0.829162 0.0877469
0.900492 0.100733
0.943246 0.114283
0.967721 0.127924
0.981499 0.141363
0.989253 0.154444
0.993655 0.167059
0.996189 0.179175
0.997669 0.190777
0.998549 0.201865
0.999081 0.212445
0.999407 0.222526
0.999611 0.23212
0.99974 0.241239
0.999824 0.249893
0.999879 0.258092
0.999915 0.265849
0.999939 0.273169
0.999956 0.280061
0.999968 0.286544
0.999976 0.292623
0.999982 0.298306
0.999986 0.303595
0.999989 0.30851
0.999991 0.313049
0.999993 0.31723
0.999994 0.321049
0.999995 0.324523
0.999996 0.327648
0.999996 0.330411
0.999997 0.33287
0.999997 0.334992
0.999998 0.336788
0.999998 0.338268
0.999998 0.339426
0.999998 0.340268
0.999998 0.3408
0.999998 0.341024
0.999998 0.340942
0.999998 0.340558
0.999998 0.339872
0.999998 0.338884
0.999998 0.337591
0.999998 0.336006
0.999997 0.334124
0.999997 0.331942
0.999997 0.329456
0.999996 0.326677
0.999996 0.323595
0.999995 0.320208
0.999994 0.316521
0.999994 0.312525
0.999992 0.308226
0.99999 0.303613
0.999988 0.298689
0.999985 0.293442
0.99998 0.287875
0.999974 0.281989
0.999967 0.275767
0.999956 0.269209
0.99994 0.262314
0.999918 0.255079
0.999887 0.247486
0.999841 0.239533
0.999773 0.231216
0.999672 0.222529
0.99952 0.213466
0.999285 0.20402
0.99892 0.194184
0.998344 0.183953
0.997419 0.173321
0.995915 0.162288
0.993433 0.150856
0.989278 0.139039
0.982244 0.126869
0.970238 0.114408
0.949722 0.101774
0.91506 0.0891675
0.85838 0.076919
0.771611 0.0654461
0.652677 0.0552172
0.513191 0.046631
0.376578 0.0398319
0.262988 0.0347187
0.178679 0.0310347
0.119776 0.028446
0.0796699 0.0266791
0.0526291 0.0254897
