Model Parameters: a, b, 1/eps, Lx, Ly, Dv = 0.75, 0.01, 50, 40, 40, 0
Numerical Parameters: NX, NY, ts, delta = 201, 201, 0.8, 0.001 
File written: Thu Jun 18 15:30:16 2015
Comments: 2D 





Ascii values of u and v follow
0 0.00208699
0 0.00208699
0 0.00208699
0 0.00208699
0 0.00208699
0 0.00208699
0 0.00208699
0 0.00208699
0 0.00208699
0 0.00208699
0 0.00208699
0 0.00208699
0 0.00208699
0 0.00208699
0 0.00208699
0 0.00208699
0 0.00208699
0 0.00208699
0 0.00208699
0 0.00208699
0 0.00208699
0 0.00208699
0 0.00208699
0 0.00208699
0 0.00208699
0 0.00208699
0 0.00208699
0 0.00208699
0 0.00208699
0 0.00208699
0 0.00208699
0 0.00208699
0 0.00208699
0 0.00208699
0 0.00208699
0 0.00208699
0 0.00208699
0 0.00208699
0 0.00208699
0 0.00208699
0 0.00208699
0 0.00208699
0 0.00208699
0 0.00208699
0 0.00208699
0 0.00208699
0 0.00208699
0 0.00208699
0 0.00208699
0 0.00208699
0 0.00208699
0 0.00208699
0 0.00208699
0 0.00208699
0 0.00208699
0 0.00208699
0 0.00208699
0 0.00208699
0 0.00208699
0 0.00208699
0 0.00208699
0 0.00208699
0 0.00208699
0.00154148 0.00210565
0.00350351 0.00217391
0.00706884 0.00231119
0.0127862 0.00255426
0.0221744 0.00296668
0.0376288 0.00364474
0.0630728 0.00477202
0.104949 0.00659114
0.173207 0.00947566
0.279825 0.0139348
0.428429 0.0205571
0.597609 0.0297236
0.747932 0.0413832
0.854994 0.0550425
0.92041 0.0699416
0.95708 0.0854073
0.976852 0.100936
0.987394 0.116255
0.993036 0.131193
0.996089 0.145682
0.997765 0.159696
0.998701 0.17321
0.999232 0.186227
0.999538 0.198763
0.999717 0.210812
0.999824 0.222386
0.999889 0.233499
0.999929 0.244161
0.999954 0.254384
0.999969 0.26418
0.999979 0.273558
0.999986 0.282527
0.99999 0.291096
0.999993 0.299269
0.999995 0.307052
0.999997 0.314444
0.999998 0.319308
0.999998 0.325753
0.999999 0.33168
0.999999 0.337117
0.999999 0.3421
0.999999 0.346675
1 0.350872
1 0.354714
1 0.358233
1 0.361464
1 0.364418
1 0.367123
1 0.369588
1 0.371837
1 0.373887
1 0.375758
1 0.377451
1 0.378986
1 0.380373
1 0.381628
1 0.382763
1 0.383779
1 0.384684
1 0.385493
1 0.386211
1 0.386847
1 0.387409
1 0.387905
1 0.388341
1 0.388723
1 0.389057
1 0.389351
1 0.389605
1 0.389828
1 0.390023
1 0.390194
1 0.390343
1 0.390478
1 0.390589
1 0.390681
1 0.390756
1 0.390817
1 0.390869
1 0.390911
1 0.390945
1 0.390972
1 0.390995
1 0.391013
1 0.391028
1 0.39104
1 0.391049
1 0.391057
1 0.391063
1 0.391068
1 0.391072
1 0.391075
1 0.391077
1 0.391079
1 0.391081
1 0.391082
1 0.391082
1 0.391083
1 0.391084
1 0.391084
1 0.391085
1 0.391085
1 0.391085
1 0.391085
1 0.391085
1 0.391086
1 0.391086
1 0.391086
1 0.391086
1 0.391086
1 0.391086
1 0.391086
1 0.391086
1 0.391086
1 0.391086
1 0.391086
1 0.391086
