Model Parameters: a, b, 1/eps, Lx, Ly, Dv = 0.75, 0.01, 50, 40, 40, 0
Numerical Parameters: NX, NY, ts, delta = 201, 201, 0.8, 0.001 
File written: Thu Jun 18 15:30:18 2015
Comments: 2D 





Ascii values of u and v follow
1 0.49685
1 0.499655
1 0.507522
1 0.519035
1 0.532563
1 0.546845
1 0.561146
1 0.575137
0.999999 0.588691
0.999998 0.601792
0.999994 0.614437
0.999985 0.626631
0.999959 0.638399
0.999892 0.649751
0.999723 0.660697
0.999301 0.671248
0.998266 0.681405
0.995753 0.691137
0.989668 0.700379
0.974885 0.708939
0.939109 0.71636
0.85659 0.721655
0.69459 0.723191
0.465357 0.719285
0.254296 0.709423
0.120641 0.69473
0.0535125 0.677167
0.0232729 0.65843
0.0101559 0.639506
0.00448965 0.620873
0.00201105 0.602728
0.000802468 0.585136
0 0.568106
0 0.551652
0 0.535776
0 0.520436
0 0.505632
0 0.491329
0 0.477525
0 0.464194
0 0.451312
0 0.438878
0 0.426863
0 0.415267
0 0.404066
0 0.393241
0 0.382792
0 0.3727
0 0.362951
0 0.353531
0 0.344437
0 0.335654
0 0.327168
0 0.318969
0 0.311056
0 0.303413
0 0.296032
0 0.288903
0 0.28202
0 0.275374
0 0.268956
0 0.262761
0 0.256779
0 0.251005
0 0.245433
0 0.240055
0 0.234866
0 0.22986
0 0.225031
0 0.220375
0 0.215889
0 0.211561
0 0.207388
0 0.203371
0 0.199504
0 0.195777
0 0.19219
0 0.188742
0 0.185425
0 0.182239
0 0.179175
0 0.176237
0 0.173416
0 0.170714
0 0.168124
0 0.165647
0 0.163279
0 0.161015
0 0.158858
0 0.156804
0 0.154849
0 0.152992
0 0.151233
0 0.149572
0 0.148005
0 0.146533
0 0.145149
0 0.143856
0 0.142653
0 0.141382
0 0.140325
0 0.139333
0 0.1384
0 0.137529
0 0.136723
0 0.135975
0 0.135289
0 0.134656
0 0.134081
0 0.133556
0 0.133082
0 0.132656
0 0.132276
0 0.131936
0 0.131641
0 0.131383
0 0.131163
0 0.130977
0 0.130824
0 0.130705
0 0.130617
0 0.130555
0 0.130522
0 0.130514
0 0.130532
0 0.130572
0 0.130635
0 0.130721
0 0.130826
0 0.130951
0 0.131095
0 0.131259
0 0.13144
0 0.131639
0 0.131855
0 0.132088
0 0.132338
0 0.132602
0 0.132881
0 0.133176
0 0.133486
0 0.133811
0 0.134151
0 0.134509
0 0.134881
0 0.135267
0 0.135668
0 0.136085
0 0.136518
0 0.13697
0 0.137434
0 0.137915
0 0.138414
0 0.138933
0 0.139466
0 0.140018
0 0.140587
0 0.141176
0 0.141784
0 0.142408
0 0.143054
0 0.143722
0 0.144408
0 0.145115
0 0.145846
0 0.146596
0 0.147367
0 0.148166
0 0.148984
0 0.149826
0 0.150694
0 0.151584
0 0.152499
0 0.153441
0 0.154406
0 0.155399
0 0.156415
0 0.157458
0 0.158527
0 0.159622
0 0.160742
0 0.161883
0 0.16305
0 0.164232
0 0.165438
0 0.166654
0 0.167879
0 0.169113
0 0.170341
0 0.17156
0 0.172755
0 0.173919
0 0.175032
0 0.176079
0 0.177044
0 0.177908
0 0.178647
0 0.179245
0 0.179686
